feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0074","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","Germany","None","14","17","download_history; data_access_logs","","secure_delivery; identity_verification","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_privacy","0.82","2025-08-30T17:05:41.418962"
"GEN-0075","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","New York","21","65","report_logs; content_hashes; detection_metadata","","human_review; age_verification; law_enforcement_cooperation; content_filtering; automated_reporting","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_safety","0.75","2025-08-30T17:05:41.418984"
"GEN-0076","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","France","None","13","15","retention_schedules; deletion_logs","variable_rewards; push_notifications; infinite_scroll; social_pressure","user_notification","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_privacy","0.79","2025-08-30T17:05:41.419010"
"GEN-0077","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","California","16","18","social_validation_data; engagement_metrics","variable_rewards; push_notifications; public_metrics; social_pressure; infinite_scroll; social_validation","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk","template_growth","0.89","2025-08-30T17:05:41.419033"
"GEN-0078","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","Germany","None","18","25","login_patterns; streak_data; reward_history","variable_rewards; push_notifications; social_pressure; habit_formation; infinite_scroll","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_growth","0.72","2025-08-30T17:05:41.419057"
"GEN-0079","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","France","None","18","25","time_spent_learning; quiz_results; educational_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","time_limits; content_filtering","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_recommendations","0.78","2025-08-30T17:05:41.419074"
"GEN-0080","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","Germany","None","13","15","message_metadata; deletion_logs","variable_rewards; push_notifications; social_pressure","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_messaging","0.81","2025-08-30T17:05:41.419098"
"GEN-0081","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Florida","18","65","social_validation_data; engagement_metrics","variable_rewards; push_notifications; public_metrics; social_pressure; infinite_scroll; social_validation","age_verification; hide_metrics_option; content_filtering; user_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: public_metrics and 1 other issues","US-FL","addiction_risk","template_growth","0.77","2025-08-30T17:05:41.419122"
"GEN-0082","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","Illinois","16","18","contact_lists; message_content; conversation_history","","parental_oversight; message_filtering","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; high_risk_feature","template_messaging","0.74","2025-08-30T17:05:41.419138"
"GEN-0083","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","California","21","65","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","clear_explanations; default_private_settings; age_verification; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","addiction_risk","template_privacy","0.87","2025-08-30T17:05:41.419160"
"GEN-0084","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","France","None","18","25","content_preferences; age_verification_data","variable_rewards; social_pressure","strict_age_verification; content_warnings","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_live_streaming","0.95","2025-08-30T17:05:41.419178"
"GEN-0085","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","New York","16","18","report_history; behavioral_patterns; comment_analysis","variable_rewards; social_pressure","counseling_resources; automatic_intervention","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_safety","0.95","2025-08-30T17:05:41.419194"
"GEN-0086","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","Florida","18","25","time_spent_learning; quiz_results; educational_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","time_limits; content_filtering","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","addiction_risk","template_recommendations","0.71","2025-08-30T17:05:41.419211"
"GEN-0087","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","USA","Florida","14","16","shared_content; admin_actions; group_membership","variable_rewards; group_dynamics; push_notifications; social_pressure; infinite_scroll","group_moderation","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications and 1 other issues","US-FL","minor_targeting; addiction_risk","template_messaging","0.87","2025-08-30T17:05:41.419237"
"GEN-0088","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Florida","16","18","social_validation_data; engagement_metrics","variable_rewards; push_notifications; public_metrics; social_pressure; infinite_scroll; social_validation","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: public_metrics and 1 other issues","US-FL","minor_targeting; addiction_risk","template_growth","0.88","2025-08-30T17:05:41.419259"
"GEN-0089","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","California","16","18","gifting_history; payment_info; spending_patterns","social_status; variable_rewards; virtual_economy","spending_limits; parental_controls; age_verification; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.94","2025-08-30T17:05:41.419284"
"GEN-0090","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Germany","None","16","18","report_history; behavioral_patterns; comment_analysis","variable_rewards; social_pressure","counseling_resources; automatic_intervention","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_safety","0.92","2025-08-30T17:05:41.419304"
"GEN-0091","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","Florida","18","25","report_history; behavioral_patterns; comment_analysis","variable_rewards; social_pressure","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: variable_rewards","US-FL","addiction_risk","template_safety","0.79","2025-08-30T17:05:41.419325"
"GEN-0092","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Netherlands","None","18","25","report_history; behavioral_patterns; comment_analysis","variable_rewards; push_notifications; social_pressure; infinite_scroll","automatic_intervention","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_safety","0.86","2025-08-30T17:05:41.419350"
"GEN-0093","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Germany","None","14","17","report_history; behavioral_patterns; comment_analysis","variable_rewards; push_notifications; social_pressure; infinite_scroll","counseling_resources; automatic_intervention","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_safety","0.94","2025-08-30T17:05:41.419367"
"GEN-0094","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","California","13","18","contact_lists; message_content; conversation_history","","parental_oversight; message_filtering","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","child_targeting; high_risk_feature","template_messaging","0.81","2025-08-30T17:05:41.419382"
"GEN-0095","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","USA","Illinois","16","18","resource_engagement; content_analysis; intervention_logs","push_notifications; variable_rewards; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_safety","0.79","2025-08-30T17:05:41.419404"
"GEN-0096","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","Florida","18","25","contact_lists; message_content; conversation_history","","parental_oversight; message_filtering","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","high_risk_feature","template_messaging","0.72","2025-08-30T17:05:41.419419"
"GEN-0097","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","California","14","17","browsing_behavior; demographic_data; purchase_history","variable_rewards; push_notifications; social_pressure; targeted_advertising; infinite_scroll","ad_transparency","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk","template_advertising","0.71","2025-08-30T17:05:41.419436"
"GEN-0098","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","Netherlands","None","16","18","browsing_behavior; demographic_data; purchase_history","variable_rewards; push_notifications; social_pressure; targeted_advertising; infinite_scroll","ad_transparency","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_advertising","0.85","2025-08-30T17:05:41.419453"
"GEN-0099","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","Florida","21","65","interaction_patterns; live_viewing_history; creator_follows","variable_rewards; fomo_triggers; live_notifications; push_notifications; social_pressure","parental_controls; age_verification","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards; Uses addictive feature: fomo_triggers and 1 other issues","US-FL","addiction_risk; high_risk_feature","template_live_streaming","0.7","2025-08-30T17:05:41.419479"
"GEN-0100","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","Illinois","18","65","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","clear_explanations; parental_controls; age_verification; default_private_settings; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_privacy","0.83","2025-08-30T17:05:41.419503"
"GEN-0101","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","Illinois","18","65","message_metadata; deletion_logs","variable_rewards; social_pressure","screenshot_detection; content_filtering","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_messaging","0.81","2025-08-30T17:05:41.419525"
"GEN-0102","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","California","18","65","message_metadata; deletion_logs","variable_rewards","screenshot_detection; content_filtering; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","addiction_risk","template_messaging","0.8","2025-08-30T17:05:41.419547"
"GEN-0103","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","New York","14","16","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_privacy","0.8","2025-08-30T17:05:41.419569"
"GEN-0104","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","USA","Texas","13","17","engagement_patterns; viral_participation; social_graph","variable_rewards; push_notifications; social_pressure; algorithmic_ranking; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_recommendations","0.81","2025-08-30T17:05:41.419591"
"GEN-0105","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","France","None","13","15","report_history; behavioral_patterns; comment_analysis","variable_rewards; push_notifications; social_pressure; infinite_scroll","automatic_intervention","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_safety","0.85","2025-08-30T17:05:41.419618"
"GEN-0106","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","California","13","18","social_connections; friend_activity; interaction_history","social_validation; real_time_updates","privacy_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","child_targeting","template_recommendations","0.76","2025-08-30T17:05:41.419634"
"GEN-0107","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","Netherlands","None","16","18","content_preferences; age_verification_data","variable_rewards; social_pressure","strict_age_verification; age_verification; user_controls; content_warnings","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_live_streaming","0.88","2025-08-30T17:05:41.419659"
"GEN-0108","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","California","13","18","gifting_history; payment_info; spending_patterns","social_status; variable_rewards; virtual_economy","spending_limits; parental_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","child_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.72","2025-08-30T17:05:41.419677"
"GEN-0109","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","New York","14","16","report_logs; content_hashes; detection_metadata","variable_rewards; infinite_scroll; social_pressure","automated_reporting","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_safety","0.89","2025-08-30T17:05:41.419702"
"GEN-0110","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","France","None","16","18","download_history; data_access_logs","variable_rewards; social_pressure; infinite_scroll","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_privacy","0.8","2025-08-30T17:05:41.419725"
"GEN-0111","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Illinois","16","18","social_validation_data; engagement_metrics","variable_rewards; push_notifications; public_metrics; social_pressure; infinite_scroll; social_validation","parental_controls; age_verification; hide_metrics_option","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_growth","0.95","2025-08-30T17:05:41.419748"
"GEN-0112","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","Florida","16","18","time_spent_learning; quiz_results; educational_preferences","push_notifications; variable_rewards; infinite_scroll","parental_controls; time_limits; content_filtering","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","minor_targeting; addiction_risk","template_recommendations","0.89","2025-08-30T17:05:41.419772"
"GEN-0113","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","France","None","18","65","visit_history; location_data; local_preferences","push_notifications; social_pressure","parental_controls; location_controls; age_verification; content_filtering","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; privacy_risk","template_advertising","0.92","2025-08-30T17:05:41.419797"
"GEN-0114","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","France","None","14","16","message_metadata; deletion_logs","variable_rewards; push_notifications; social_pressure; infinite_scroll","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_messaging","0.72","2025-08-30T17:05:41.419822"
"GEN-0115","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Florida","16","18","visit_history; location_data; local_preferences","push_notifications; social_pressure","location_controls; user_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications","US-FL","minor_targeting; addiction_risk; privacy_risk","template_advertising","0.72","2025-08-30T17:05:41.419843"
"GEN-0116","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","Germany","None","13","15","social_connections; friend_activity; interaction_history","variable_rewards; push_notifications; social_validation; real_time_updates","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_recommendations","0.85","2025-08-30T17:05:41.419867"
"GEN-0117","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","Florida","14","16","time_spent_learning; quiz_results; educational_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","content_filtering","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications and 1 other issues","US-FL","minor_targeting; addiction_risk","template_recommendations","0.86","2025-08-30T17:05:41.419892"
"GEN-0118","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","France","None","13","18","download_history; data_access_logs","variable_rewards; social_pressure; infinite_scroll","secure_delivery; identity_verification","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_privacy","0.81","2025-08-30T17:05:41.419908"
"GEN-0119","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","Illinois","18","65","gifting_history; payment_info; spending_patterns","social_status; virtual_economy","spending_limits; parental_controls; age_verification; content_filtering; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","high_risk_feature","template_live_streaming","0.83","2025-08-30T17:05:41.419933"
"GEN-0120","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","Germany","None","18","25","contact_lists; message_content; conversation_history","","parental_oversight; age_verification; content_filtering; message_filtering","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_messaging","0.79","2025-08-30T17:05:41.419955"
"GEN-0121","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","Netherlands","None","18","25","shared_content; admin_actions; group_membership","variable_rewards; group_dynamics; push_notifications; social_pressure; infinite_scroll","group_moderation; reporting_tools","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_messaging","0.72","2025-08-30T17:05:41.419973"
"GEN-0122","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","Netherlands","None","21","65","retention_schedules; deletion_logs","variable_rewards; push_notifications; infinite_scroll; social_pressure","recovery_period; age_verification; user_notification; content_filtering; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_privacy","0.73","2025-08-30T17:05:41.419998"
"GEN-0123","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","USA","Illinois","13","15","engagement_patterns; viral_participation; social_graph","variable_rewards; push_notifications; social_pressure; algorithmic_ranking; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_recommendations","0.78","2025-08-30T17:05:41.420020"
"GEN-0124","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","France","None","18","65","gifting_history; payment_info; spending_patterns","social_status; virtual_economy","spending_limits; parental_controls; age_verification; user_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_live_streaming","0.85","2025-08-30T17:05:41.420044"
"GEN-0125","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","France","None","16","18","browsing_behavior; demographic_data; purchase_history","push_notifications; social_pressure; targeted_advertising","ad_transparency; age_verification; content_filtering; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_advertising","0.9","2025-08-30T17:05:41.420069"
"GEN-0126","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","USA","New York","16","18","download_history; data_access_logs","variable_rewards; social_pressure; infinite_scroll","parental_controls; secure_delivery; content_filtering; identity_verification","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_privacy","0.9","2025-08-30T17:05:41.420092"
"GEN-0127","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","Netherlands","None","18","65","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure; infinite_scroll","parental_controls; content_filtering; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_growth","0.81","2025-08-30T17:05:41.420117"
"GEN-0128","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","France","None","18","25","visit_history; location_data; local_preferences","push_notifications; variable_rewards; social_pressure","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; privacy_risk","template_advertising","0.95","2025-08-30T17:05:41.420140"
"GEN-0129","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","Florida","16","18","browsing_behavior; demographic_data; purchase_history","push_notifications; social_pressure; targeted_advertising","ad_transparency","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications","US-FL","minor_targeting; addiction_risk","template_advertising","0.73","2025-08-30T17:05:41.420156"
"GEN-0130","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","USA","New York","14","17","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk; high_risk_feature","template_growth","0.93","2025-08-30T17:05:41.420172"
"GEN-0131","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","California","16","18","interaction_patterns; live_viewing_history; creator_follows","live_notifications; push_notifications; social_pressure; fomo_triggers","parental_controls; age_verification","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.8","2025-08-30T17:05:41.420196"
"GEN-0132","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","California","13","15","contact_lists; message_content; conversation_history","push_notifications; social_pressure; infinite_scroll","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","child_targeting; addiction_risk; high_risk_feature","template_messaging","0.79","2025-08-30T17:05:41.420218"
"GEN-0133","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","Netherlands","None","18","25","contact_lists; message_content; conversation_history","push_notifications; variable_rewards; social_pressure; infinite_scroll","message_filtering","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_messaging","0.86","2025-08-30T17:05:41.420244"
"GEN-0134","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","France","None","16","18","content_preferences; age_verification_data","variable_rewards; social_pressure","strict_age_verification; content_warnings","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_live_streaming","0.88","2025-08-30T17:05:41.420263"
"GEN-0135","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Florida","14","16","social_connections; friend_activity; interaction_history","variable_rewards; push_notifications; real_time_updates; social_pressure; infinite_scroll; social_validation","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications and 1 other issues","US-FL","minor_targeting; addiction_risk","template_recommendations","0.86","2025-08-30T17:05:41.420287"
"GEN-0136","Auto-play Next Video","Automatic progression to next recommended video without user interaction","recommendations","USA","California","18","65","content_preferences; viewing_patterns","autoplay","parental_controls; content_filtering; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","high_risk_feature","template_recommendations","0.95","2025-08-30T17:05:41.420309"
"GEN-0137","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","Netherlands","None","13","15","shared_content; admin_actions; group_membership","variable_rewards; group_dynamics; push_notifications; social_pressure; infinite_scroll","group_moderation","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_messaging","0.92","2025-08-30T17:05:41.420334"
"GEN-0138","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","USA","Florida","13","17","shared_content; admin_actions; group_membership","variable_rewards; group_dynamics; push_notifications; social_pressure; infinite_scroll","group_moderation","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida); Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications and 1 other issues","US-FL","child_targeting; addiction_risk","template_messaging","0.84","2025-08-30T17:05:41.420358"
"GEN-0139","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","USA","Illinois","13","18","engagement_patterns; device_info; viewing_history","variable_rewards; push_notifications; social_pressure; autoplay; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk; high_risk_feature","template_recommendations","0.74","2025-08-30T17:05:41.420375"
"GEN-0140","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","Germany","None","16","18","gifting_history; payment_info; spending_patterns","variable_rewards; social_status; push_notifications; social_pressure; virtual_economy","spending_limits","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.91","2025-08-30T17:05:41.420401"
"GEN-0141","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","California","16","18","time_spent_learning; quiz_results; educational_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk","template_recommendations","0.89","2025-08-30T17:05:41.420424"
"GEN-0142","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","Florida","16","18","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","clear_explanations; default_private_settings","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","minor_targeting; addiction_risk","template_privacy","0.94","2025-08-30T17:05:41.420439"
"GEN-0143","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","Illinois","14","17","report_logs; content_hashes; detection_metadata","variable_rewards; infinite_scroll; social_pressure","automated_reporting; human_review; law_enforcement_cooperation","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_safety","0.77","2025-08-30T17:05:41.420456"
"GEN-0144","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","Florida","13","18","report_history; behavioral_patterns; comment_analysis","variable_rewards; push_notifications; social_pressure; infinite_scroll","counseling_resources; automatic_intervention","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida); Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications and 1 other issues","US-FL","child_targeting; addiction_risk","template_safety","0.75","2025-08-30T17:05:41.420472"
